2025-03-22 22:17:03,134 - Episode 33/1000 | Total Reward: -198719.77 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.46s
2025-03-22 22:17:07,471 - Episode 34/1000 | Total Reward: -229262.47 | Explore: 2 | Exploit: 52 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.34s
2025-03-22 22:17:11,983 - Episode 35/1000 | Total Reward: -223212.93 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.51s
2025-03-22 22:17:16,130 - Episode 36/1000 | Total Reward: -211156.37 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.15s
2025-03-22 22:17:20,622 - Episode 37/1000 | Total Reward: -240582.53 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.49s
2025-03-22 22:17:25,192 - Episode 38/1000 | Total Reward: -242695.88 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.57s
2025-03-22 22:17:29,200 - Episode 39/1000 | Total Reward: -217195.41 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.01s
2025-03-22 22:17:33,814 - Episode 40/1000 | Total Reward: -246333.67 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.61s
2025-03-22 22:17:38,223 - Episode 41/1000 | Total Reward: -223034.23 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.41s
2025-03-22 22:17:42,301 - Episode 42/1000 | Total Reward: -46913.77 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.08s
2025-03-22 22:17:46,693 - Episode 43/1000 | Total Reward: -249088.61 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.39s
2025-03-22 22:17:51,210 - Episode 44/1000 | Total Reward: -262938.45 | Explore: 0 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.52s
2025-03-22 22:17:55,115 - Episode 45/1000 | Total Reward: -188590.49 | Explore: 2 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.90s
2025-03-22 22:17:59,566 - Episode 46/1000 | Total Reward: -245309.70 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.45s
2025-03-22 22:18:03,759 - Episode 47/1000 | Total Reward: -226943.29 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.19s
2025-03-22 22:18:08,153 - Episode 48/1000 | Total Reward: -239317.41 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.39s
2025-03-22 22:18:12,445 - Episode 49/1000 | Total Reward: -160936.62 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.29s
2025-03-22 22:18:16,805 - Episode 50/1000 | Total Reward: -235940.61 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.36s
2025-03-22 22:18:21,040 - Episode 51/1000 | Total Reward: -221351.07 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.23s
2025-03-22 22:18:25,434 - Episode 52/1000 | Total Reward: -225375.08 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.38s
2025-03-22 22:18:30,476 - Episode 53/1000 | Total Reward: -299826.07 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.04s
2025-03-22 22:18:34,736 - Episode 54/1000 | Total Reward: -193468.62 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.26s
2025-03-22 22:18:39,296 - Episode 55/1000 | Total Reward: -245332.09 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.56s
2025-03-22 22:18:43,550 - Episode 56/1000 | Total Reward: -105926.94 | Explore: 2 | Exploit: 55 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.25s
2025-03-22 22:18:48,003 - Episode 57/1000 | Total Reward: -226379.12 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.45s
2025-03-22 22:18:52,266 - Episode 58/1000 | Total Reward: -218333.88 | Explore: 2 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.26s
2025-03-22 22:18:56,487 - Episode 59/1000 | Total Reward: -140841.48 | Explore: 3 | Exploit: 55 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.22s
2025-03-22 22:19:01,009 - Episode 60/1000 | Total Reward: -215306.19 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.52s
2025-03-22 22:19:05,564 - Episode 61/1000 | Total Reward: -201485.19 | Explore: 0 | Exploit: 59 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.56s
2025-03-22 22:19:10,337 - Episode 62/1000 | Total Reward: -263090.06 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.77s
2025-03-22 22:19:14,923 - Episode 63/1000 | Total Reward: -209303.28 | Explore: 1 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.59s
2025-03-22 22:19:19,111 - Episode 64/1000 | Total Reward: -191729.87 | Explore: 2 | Exploit: 55 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.19s
2025-03-22 22:19:23,275 - Episode 65/1000 | Total Reward: -229815.02 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.16s
2025-03-22 22:19:27,680 - Episode 66/1000 | Total Reward: -182085.01 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.40s
2025-03-22 22:19:32,078 - Episode 67/1000 | Total Reward: -197661.15 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.40s
2025-03-22 22:19:36,236 - Episode 68/1000 | Total Reward: -143234.99 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.16s
2025-03-22 22:19:40,447 - Episode 69/1000 | Total Reward: -218002.11 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.21s
2025-03-22 22:19:44,857 - Episode 70/1000 | Total Reward: -271613.57 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.41s
2025-03-22 22:19:49,128 - Episode 71/1000 | Total Reward: -221851.29 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.27s
2025-03-22 22:19:53,091 - Episode 72/1000 | Total Reward: -156407.10 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.96s
2025-03-22 22:19:57,105 - Episode 73/1000 | Total Reward: -204904.88 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.01s
2025-03-22 22:20:01,486 - Episode 74/1000 | Total Reward: -234114.75 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.38s
2025-03-22 22:20:06,688 - Episode 75/1000 | Total Reward: -344600.33 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.20s
2025-03-22 22:20:10,819 - Episode 76/1000 | Total Reward: -101792.06 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.13s
2025-03-22 22:20:15,829 - Episode 77/1000 | Total Reward: -291730.32 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.01s
2025-03-22 22:20:20,871 - Episode 78/1000 | Total Reward: -346788.42 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.04s
2025-03-22 22:20:24,886 - Episode 79/1000 | Total Reward: -170158.74 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.01s
2025-03-22 22:20:29,940 - Episode 80/1000 | Total Reward: -326749.87 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.05s
2025-03-22 22:20:33,816 - Episode 81/1000 | Total Reward: -152111.19 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.88s
2025-03-22 22:20:38,856 - Episode 82/1000 | Total Reward: -360518.71 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.04s
2025-03-22 22:20:44,429 - Episode 83/1000 | Total Reward: -314661.21 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.57s
2025-03-22 22:20:48,385 - Episode 84/1000 | Total Reward: -192759.97 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.96s
2025-03-22 22:20:52,470 - Episode 85/1000 | Total Reward: -135614.14 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.08s
2025-03-22 22:20:57,623 - Episode 86/1000 | Total Reward: -370832.18 | Explore: 0 | Exploit: 58 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 5.15s
2025-03-22 22:21:02,381 - Episode 87/1000 | Total Reward: -247249.84 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.76s
2025-03-22 22:21:06,491 - Episode 88/1000 | Total Reward: -210557.00 | Explore: 1 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.11s
2025-03-22 22:21:10,965 - Episode 89/1000 | Total Reward: -275127.96 | Explore: 0 | Exploit: 57 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.47s
2025-03-22 22:21:15,376 - Episode 90/1000 | Total Reward: -230404.29 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.41s
2025-03-22 22:21:19,432 - Episode 91/1000 | Total Reward: -192927.73 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 4.06s
2025-03-22 22:21:23,181 - Episode 92/1000 | Total Reward: -106757.81 | Explore: 1 | Exploit: 56 | Epsilon: 0.010 | Avg Wait: nans | Avg Queue: nan | Time: 3.75s
