2025-05-04 12:00:16,587 - INFO - Loaded existing model.
2025-05-04 12:02:30,268 - INFO - Episode 35/3000, Difficulty: 0.00, Reward: -1.2, Loss: 0.0097, Epsilon: 0.885, Explore: 165, Exploit: 26 ,action: 7
2025-05-04 12:02:34,416 - INFO - Episode 36/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0093, Epsilon: 0.885, Explore: 179, Exploit: 24 ,action: 2
2025-05-04 12:02:38,509 - INFO - Episode 37/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0083, Epsilon: 0.884, Explore: 175, Exploit: 17 ,action: 3
2025-05-04 12:02:42,617 - INFO - Episode 38/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0089, Epsilon: 0.884, Explore: 174, Exploit: 26 ,action: 8
2025-05-04 12:02:46,602 - INFO - Episode 39/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0090, Epsilon: 0.884, Explore: 165, Exploit: 30 ,action: 8
2025-05-04 12:02:50,474 - INFO - Episode 40/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0086, Epsilon: 0.884, Explore: 165, Exploit: 19 ,action: 11
2025-05-04 12:02:54,380 - INFO - Episode 41/3000, Difficulty: 0.00, Reward: -0.8, Loss: 0.0091, Epsilon: 0.884, Explore: 164, Exploit: 30 ,action: 5
2025-05-04 12:02:58,342 - INFO - Episode 42/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0092, Epsilon: 0.883, Explore: 155, Exploit: 34 ,action: 9
2025-05-04 12:03:02,253 - INFO - Episode 43/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0081, Epsilon: 0.883, Explore: 172, Exploit: 23 ,action: 3
2025-05-04 12:03:06,200 - INFO - Episode 44/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0096, Epsilon: 0.883, Explore: 184, Exploit: 15 ,action: 6
2025-05-04 12:03:10,136 - INFO - Episode 45/3000, Difficulty: 0.00, Reward: -1.0, Loss: 0.0090, Epsilon: 0.883, Explore: 180, Exploit: 13 ,action: 6
2025-05-04 12:03:14,164 - INFO - Episode 46/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0090, Epsilon: 0.883, Explore: 175, Exploit: 17 ,action: 11
2025-05-04 12:03:18,206 - INFO - Episode 47/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0093, Epsilon: 0.882, Explore: 180, Exploit: 21 ,action: 9
2025-05-04 12:03:22,149 - INFO - Episode 48/3000, Difficulty: 0.00, Reward: -2.0, Loss: 0.0088, Epsilon: 0.882, Explore: 174, Exploit: 19 ,action: 5
2025-05-04 12:03:26,110 - INFO - Episode 49/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0097, Epsilon: 0.882, Explore: 166, Exploit: 19 ,action: 4
2025-05-04 12:03:30,107 - INFO - Episode 50/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0093, Epsilon: 0.882, Explore: 161, Exploit: 27 ,action: 7
2025-05-04 12:03:30,111 - INFO - Model saved at episode 50
