episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
91,193.93,3308.431693989071,15.245901639344263,178,5,0.9827561800003743,0.0007438016528925619,17,2.999902897356638
92,235.0499999999999,948.6363636363636,8.75598086124402,208,1,0.9825492700003788,0.0007604224058769514,25,3.2167306263980113
93,199.07000000000008,2076.903743315508,11.866310160427808,186,1,0.9823641400003829,0.0007772268135904499,15,3.060411423524433
94,179.62999999999985,3300.0289017341042,14.936416184971097,168,5,0.9821928700003866,0.000794214876033058,12,2.9923448567790105
95,206.06000000000003,2387.7157894736843,12.884210526315789,187,3,0.9820047700003907,0.000811386593204775,4,3.2519861139749224
96,220.17000000000007,1938.0301507537688,10.798994974874372,195,4,0.9818077600003949,0.0008287419651056016,17,3.3512248293538787
97,209.26000000000002,2259.2139303482586,12.412935323383085,198,3,0.9816087700003993,0.0008462809917355372,14,3.435648563489392
98,197.5199999999999,1835.7860962566845,11.502673796791443,181,6,0.9814236400004033,0.0008640036730945821,11,3.2024773596362635
99,193.23000000000008,1426.9945355191257,9.98360655737705,178,5,0.9812424700004072,0.0008819100091827365,12,3.482716911966032
100,209.54000000000008,1853.2512315270935,12.014778325123153,198,5,0.9810415000004116,0.0009,12,3.346229152799827
101,219.61999999999998,1519.7815533980583,10.004854368932039,204,2,0.980837560000416,0.0009182736455463729,13,3.6544512618803284
102,212.48000000000005,2062.031746031746,12.275132275132275,185,4,0.9806504500004201,0.0009367309458218548,29,3.4623176810287295
103,214.82,2004.3125,10.979166666666666,189,3,0.9804603700004242,0.0009553719008264463,8,3.8089940689193704
104,210.04000000000002,2045.0994764397906,10.926701570680628,187,4,0.9802712800004283,0.0009741965105601469,14,3.680717632174492
105,242.88999999999982,1388.0390243902439,9.78048780487805,205,0,0.9800683300004327,0.000993204775022957,25,4.011221981193962
106,202.06000000000006,1653.0473684210526,10.594736842105263,189,1,0.9798802300004368,0.0010123966942148757,23,3.687528999934071
107,252.39000000000004,915.4641148325359,8.062200956937799,199,10,0.9796733200004413,0.0010317722681359043,15,4.076383387357994
108,213.45,907.115,8.44,198,2,0.9794753200004456,0.0010513314967860422,10,4.1657229967415335
109,226.70999999999984,1248.4162436548224,9.436548223350254,194,3,0.9792802900004498,0.0010710743801652894,10,4.520446320853862
110,212.8299999999999,1492.2777777777778,10.16161616161616,192,6,0.9790842700004541,0.0010910009182736454,9,4.034374361838958
111,200.67000000000004,1339.6382978723404,10.420212765957446,185,3,0.9788981500004581,0.0011111111111111111,13,5.239883320128664
112,225.29999999999998,1355.721649484536,9.61340206185567,191,3,0.9787060900004623,0.001131404958677686,36,4.6196504672317165
113,203.3600000000001,1391.9948453608247,10.417525773195877,191,3,0.9785140300004664,0.0011518824609733703,25,4.612081550292133
