actions
5
2
2
2
2
2
2
2
2
4
2
2
2
5
2
5
2
2
5
5
5
5
2
2
2
2
5
5
5
2
2
5
2
2
5
2
2
2
2
2
2
2
1
2
2
2
2
2
2
5
2
2
2
2
1
2
2
2
2
2
5
2
2
4
2
5
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
1
5
1
1
1
1
1
1
1
2
2
1
1
2
1
1
5
1
5
2
2
2
2
2
2
5
2
2
2
2
5
2
2
5
2
5
5
5
5
2
2
2
1
2
5
2
5
2
2
5
2
2
2
2
5
2
2
2
2
2
2
2
5
2
2
2
2
1
2
5
1
2
2
2
2
2
2
1
5
1
1
2
1
1
4
2
1
1
1
5
1
1
1
1
5
2
1
1
2
2
1
1
2
2
1
2
2
5
5
1
1
1
1
1
1
2
2
1
1
2
1
2
2
2
2
2
2
2
2
2
5
2
2
2
5
2
5
5
2
5
5
5
2
2
2
2
5
2
5
2
5
5
5
2
2
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
1
2
5
2
2
5
2
1
1
2
5
2
1
2
5
1
2
1
1
2
1
5
1
1
2
2
1
2
1
2
2
1
2
1
11
4
11
11
11
1
1
2
0
5
1
5
0
1
1
0
2
2
0
1
11
5
2
2
2
2
2
2
2
5
2
5
2
2
5
5
5
5
2
2
2
2
5
5
2
5
5
5
2
5
1
2
5
2
5
5
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
1
1
2
2
2
2
2
2
2
2
5
2
4
2
2
1
1
1
1
2
2
5
1
2
1
2
2
1
2
1
5
1
2
1
1
1
1
1
1
1
2
1
1
1
2
2
1
1
1
1
1
2
1
5
5
1
5
5
2
2
2
2
2
2
2
5
2
5
5
5
2
2
2
2
5
5
2
2
5
5
2
5
5
5
2
2
2
5
2
2
2
5
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
5
0
2
1
1
5
2
2
2
1
2
5
2
5
1
2
2
1
5
2
2
1
2
5
1
5
5
1
0
5
1
1
1
2
5
2
1
2
2
1
2
1
1
1
1
5
2
1
5
1
5
2
2
2
2
2
2
2
5
2
2
5
2
2
2
2
5
5
2
2
2
2
5
5
5
2
2
5
5
5
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
1
1
2
5
2
2
2
2
5
2
1
1
2
1
2
2
2
1
1
1
2
1
1
1
5
0
0
1
1
1
2
1
2
5
5
1
1
2
1
1
1
1
1
1
4
2
1
1
5
5
0
1
1
2
1
1
5
1
2
2
2
2
2
2
2
5
5
5
2
2
5
2
2
5
2
2
5
5
5
5
2
2
5
2
5
5
5
2
2
5
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
2
2
2
2
2
2
5
2
2
2
2
1
2
1
5
1
2
2
1
5
2
5
1
2
1
2
1
1
1
5
0
2
2
1
1
1
2
1
5
1
2
11
4
1
11
4
1
11
0
1
1
5
2
2
2
2
2
2
2
5
2
2
2
2
5
2
5
2
2
2
5
2
5
2
5
2
5
2
5
2
2
5
2
2
2
2
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
2
5
5
2
1
2
2
2
1
5
0
0
1
1
1
2
1
2
1
2
5
1
1
1
1
1
5
5
1
2
1
2
1
1
5
0
1
1
2
1
2
5
5
1
2
1
1
2
1
5
2
2
2
2
2
2
2
5
2
2
2
5
2
2
2
2
5
5
5
5
5
5
2
5
2
5
5
5
2
2
2
5
5
5
5
2
5
2
2
2
2
2
2
2
2
2
2
2
2
2
1
2
2
2
2
2
1
2
5
2
1
2
1
2
2
2
5
5
5
2
2
1
2
2
5
1
2
1
2
5
2
1
2
2
1
1
1
1
1
2
1
5
2
5
1
1
2
2
1
1
1
1
1
1
2
1
5
5
5
2
2
2
2
2
2
2
2
2
5
2
5
2
2
5
2
2
5
2
2
2
5
2
2
2
2
2
1
2
5
2
5
2
2
2
2
2
5
1
2
2
5
2
2
2
2
2
2
2
2
1
2
2
1
2
1
1
1
2
5
5
2
2
1
2
1
1
5
1
1
2
2
2
5
2
1
5
2
2
11
1
1
1
0
2
1
0
2
2
1
2
1
5
0
2
11
11
1
2
5
1
