episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
1,0.7199999999999991,2413.421875,13.1875,128,0,1.0,0.0,13,0.0
2,1.1100000000000034,1695.5378787878788,11.287878787878787,132,0,0.999997525,9.182736455463728e-08,12,6.621899604797363
3,9.070000000000006,2827.650406504065,15.016260162601625,123,0,0.9999366400000014,3.6730945821854913e-07,20,2.195321266728688
4,3.6299999999999892,3929.6666666666665,16.642857142857142,126,0,0.9998742700000027,8.264462809917355e-07,12,0.3645755926531459
5,4.149999999999993,4347.758333333333,15.516666666666667,120,0,0.999814870000004,1.4692378328741965e-06,16,0.3088435048237443
6,8.319999999999993,2970.638655462185,15.882352941176471,119,0,0.9997559650000053,2.295684113865932e-06,18,0.0846970302577154
7,4.220000000000004,4091.0,16.283333333333335,120,0,0.9996965650000066,3.305785123966942e-06,15,0.14225170493979628
8,9.39,1982.7723577235772,13.016260162601625,123,0,0.9996356800000079,4.499540863177228e-06,19,0.06253705952672393
9,1.7099999999999953,3138.095238095238,15.063492063492063,126,0,0.9995733100000093,5.876951331496786e-06,13,0.05453657365906688
10,2.2299999999999986,2119.626984126984,12.523809523809524,126,0,0.9995109400000106,7.438016528925621e-06,10,0.05210212658395961
11,3.090000000000014,4835.496,15.88,125,0,0.999449065000012,9.182736455463728e-06,16,0.062368959061801434
12,10.399999999999997,2687.248,15.624,125,0,0.9993871900000133,1.1111111111111113e-05,22,0.05852064821496606
13,8.759999999999998,3509.4146341463415,16.67479674796748,123,0,0.9993263050000146,1.3223140495867768e-05,27,0.06235956773161888
14,0.2299999999999985,2260.3464566929133,13.196850393700787,127,0,0.999263440000016,1.5518824609733703e-05,5,0.05281242566168543
15,2.3999999999999964,2127.934426229508,12.737704918032787,122,0,0.9992030500000173,1.799816345270891e-05,18,0.052798254522265956
16,9.419999999999998,2731.425,14.266666666666667,120,0,0.9991436500000186,2.0661157024793387e-05,31,0.05088218766419838
