2025-03-17 23:59:04,117 - Episode 56: Reward=534.5000000000002, Explores=6, Exploits=521, Epsilon=0.0100
2025-03-17 23:59:07,016 - Episode 57: Reward=572.8, Explores=8, Exploits=529, Epsilon=0.0100
2025-03-17 23:59:09,822 - Episode 58: Reward=604.4500000000002, Explores=5, Exploits=523, Epsilon=0.0100
2025-03-17 23:59:12,620 - Episode 59: Reward=572.2499999999997, Explores=2, Exploits=515, Epsilon=0.0100
2025-03-17 23:59:15,565 - Episode 60: Reward=594.7499999999994, Explores=3, Exploits=529, Epsilon=0.0100
2025-03-17 23:59:18,481 - Episode 61: Reward=581.9499999999994, Explores=6, Exploits=531, Epsilon=0.0100
2025-03-17 23:59:21,462 - Episode 62: Reward=616.2999999999998, Explores=2, Exploits=543, Epsilon=0.0100
2025-03-17 23:59:24,330 - Episode 63: Reward=529.9499999999997, Explores=7, Exploits=520, Epsilon=0.0100
2025-03-17 23:59:27,216 - Episode 64: Reward=566.3999999999994, Explores=8, Exploits=520, Epsilon=0.0100
2025-03-17 23:59:29,995 - Episode 65: Reward=547.6499999999997, Explores=6, Exploits=519, Epsilon=0.0100
2025-03-17 23:59:33,052 - Episode 66: Reward=592.3500000000001, Explores=6, Exploits=523, Epsilon=0.0100
2025-03-17 23:59:36,042 - Episode 67: Reward=624.4499999999997, Explores=3, Exploits=540, Epsilon=0.0100
2025-03-17 23:59:38,994 - Episode 68: Reward=566.3999999999997, Explores=4, Exploits=514, Epsilon=0.0100
2025-03-17 23:59:42,265 - Episode 69: Reward=679.8500000000005, Explores=6, Exploits=536, Epsilon=0.0100
2025-03-17 23:59:45,147 - Episode 70: Reward=556.6999999999998, Explores=10, Exploits=523, Epsilon=0.0100
2025-03-17 23:59:49,032 - Episode 71: Reward=587.0499999999995, Explores=5, Exploits=525, Epsilon=0.0100
2025-03-17 23:59:53,277 - Episode 72: Reward=599.0999999999995, Explores=6, Exploits=533, Epsilon=0.0100
2025-03-17 23:59:57,562 - Episode 73: Reward=546.9500000000005, Explores=6, Exploits=517, Epsilon=0.0100
2025-03-18 00:00:01,640 - Episode 74: Reward=-1211.4499999999994, Explores=5, Exploits=531, Epsilon=0.0100
2025-03-18 00:00:05,308 - Episode 75: Reward=-597.4499999999994, Explores=8, Exploits=524, Epsilon=0.0100
2025-03-18 00:00:09,227 - Episode 76: Reward=390.7500000000002, Explores=3, Exploits=537, Epsilon=0.0100
2025-03-18 00:00:12,788 - Episode 77: Reward=575.8000000000005, Explores=6, Exploits=515, Epsilon=0.0100
2025-03-18 00:00:16,320 - Episode 78: Reward=586.4500000000004, Explores=10, Exploits=524, Epsilon=0.0100
2025-03-18 00:00:19,984 - Episode 79: Reward=608.3999999999992, Explores=6, Exploits=531, Epsilon=0.0100
2025-03-18 00:00:24,035 - Episode 80: Reward=560.4000000000001, Explores=6, Exploits=524, Epsilon=0.0100
2025-03-18 00:00:29,037 - Episode 81: Reward=595.7999999999998, Explores=6, Exploits=534, Epsilon=0.0100
2025-03-18 00:00:34,039 - Episode 82: Reward=547.5, Explores=4, Exploits=519, Epsilon=0.0100
2025-03-18 00:00:39,197 - Episode 83: Reward=579.7500000000006, Explores=8, Exploits=526, Epsilon=0.0100
2025-03-18 00:00:44,573 - Episode 84: Reward=603.1499999999999, Explores=9, Exploits=532, Epsilon=0.0100
2025-03-18 00:00:49,529 - Episode 85: Reward=571.4, Explores=6, Exploits=527, Epsilon=0.0100
2025-03-18 00:00:55,182 - Episode 86: Reward=-36839.199999999975, Explores=9, Exploits=538, Epsilon=0.0100
2025-03-18 00:00:59,907 - Episode 87: Reward=585.8499999999998, Explores=4, Exploits=527, Epsilon=0.0100
2025-03-18 00:01:05,081 - Episode 88: Reward=604.8000000000005, Explores=9, Exploits=530, Epsilon=0.0100
2025-03-18 00:01:09,940 - Episode 89: Reward=605.5999999999998, Explores=3, Exploits=528, Epsilon=0.0100
2025-03-18 00:01:14,818 - Episode 90: Reward=616.3499999999998, Explores=7, Exploits=524, Epsilon=0.0100
2025-03-18 00:01:19,963 - Episode 91: Reward=591.0999999999997, Explores=9, Exploits=536, Epsilon=0.0100
2025-03-18 00:01:25,055 - Episode 92: Reward=568.15, Explores=4, Exploits=521, Epsilon=0.0100
2025-03-18 00:01:29,535 - Episode 93: Reward=650.9000000000001, Explores=4, Exploits=535, Epsilon=0.0100
2025-03-18 00:01:33,846 - Episode 94: Reward=566.9499999999996, Explores=9, Exploits=519, Epsilon=0.0100
2025-03-18 00:01:37,805 - Episode 95: Reward=585.45, Explores=7, Exploits=513, Epsilon=0.0100
2025-03-18 00:01:41,765 - Episode 96: Reward=587.3000000000004, Explores=5, Exploits=523, Epsilon=0.0100
2025-03-18 00:01:46,166 - Episode 97: Reward=591.5000000000001, Explores=1, Exploits=532, Epsilon=0.0100
2025-03-18 00:01:50,615 - Episode 98: Reward=569.5500000000003, Explores=13, Exploits=513, Epsilon=0.0100
2025-03-18 00:01:55,035 - Episode 99: Reward=603.1999999999995, Explores=6, Exploits=530, Epsilon=0.0100
2025-03-18 00:01:58,654 - Episode 100: Reward=543.7000000000004, Explores=6, Exploits=522, Epsilon=0.0100
2025-03-18 00:02:01,525 - Episode 101: Reward=613.3, Explores=5, Exploits=528, Epsilon=0.0100
2025-03-18 00:02:04,356 - Episode 102: Reward=-9109.300000000005, Explores=3, Exploits=542, Epsilon=0.0100
2025-03-18 00:02:07,089 - Episode 103: Reward=600.1999999999997, Explores=4, Exploits=530, Epsilon=0.0100
2025-03-18 00:02:10,007 - Episode 104: Reward=552.9999999999997, Explores=4, Exploits=516, Epsilon=0.0100
2025-03-18 00:02:12,837 - Episode 105: Reward=550.5999999999998, Explores=7, Exploits=508, Epsilon=0.0100
2025-03-18 00:02:15,647 - Episode 106: Reward=575.1499999999997, Explores=5, Exploits=526, Epsilon=0.0100
2025-03-18 00:02:18,676 - Episode 107: Reward=-21379.649999999983, Explores=5, Exploits=537, Epsilon=0.0100
2025-03-18 00:02:21,651 - Episode 108: Reward=558.1000000000005, Explores=8, Exploits=524, Epsilon=0.0100
2025-03-18 00:02:25,406 - Episode 109: Reward=568.3500000000005, Explores=5, Exploits=526, Epsilon=0.0100
2025-03-18 00:02:29,542 - Episode 110: Reward=421.85, Explores=6, Exploits=527, Epsilon=0.0100
2025-03-18 00:02:33,321 - Episode 111: Reward=-9703.89999999999, Explores=4, Exploits=531, Epsilon=0.0100
