2025-04-09 21:34:50,736 - INFO - No saved model found, training from scratch.
2025-04-09 21:36:53,943 - INFO - Episode 38/3000, Difficulty: 0.00, Reward: -1.0, Loss: 0.0008, Epsilon: 0.991, Explore: 210, Exploit: 2
2025-04-09 21:36:57,242 - INFO - Episode 39/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0008, Epsilon: 0.991, Explore: 208, Exploit: 4
2025-04-09 21:37:00,637 - INFO - Episode 40/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0007, Epsilon: 0.991, Explore: 212, Exploit: 1
2025-04-09 21:37:04,071 - INFO - Episode 41/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0007, Epsilon: 0.990, Explore: 214, Exploit: 0
2025-04-09 21:37:07,416 - INFO - Episode 42/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.990, Explore: 208, Exploit: 5
2025-04-09 21:37:10,795 - INFO - Episode 43/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0007, Epsilon: 0.990, Explore: 211, Exploit: 2
2025-04-09 21:37:14,119 - INFO - Episode 44/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0008, Epsilon: 0.990, Explore: 213, Exploit: 2
2025-04-09 21:37:17,442 - INFO - Episode 45/3000, Difficulty: 0.00, Reward: 0.0, Loss: 0.0007, Epsilon: 0.990, Explore: 212, Exploit: 2
2025-04-09 21:37:20,863 - INFO - Episode 46/3000, Difficulty: 0.00, Reward: -1.4, Loss: 0.0007, Epsilon: 0.989, Explore: 211, Exploit: 3
2025-04-09 21:37:24,290 - INFO - Episode 47/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.989, Explore: 214, Exploit: 1
2025-04-09 21:37:27,683 - INFO - Episode 48/3000, Difficulty: 0.00, Reward: -1.6, Loss: 0.0007, Epsilon: 0.989, Explore: 208, Exploit: 6
2025-04-09 21:37:31,156 - INFO - Episode 49/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0008, Epsilon: 0.989, Explore: 213, Exploit: 1
2025-04-09 21:37:34,614 - INFO - Episode 50/3000, Difficulty: 0.00, Reward: 0.0, Loss: 0.0008, Epsilon: 0.988, Explore: 210, Exploit: 4
2025-04-09 21:37:34,617 - INFO - Model saved at episode 50
2025-04-09 21:37:38,026 - INFO - Episode 51/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.988, Explore: 211, Exploit: 3
2025-04-09 21:37:41,477 - INFO - Episode 52/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0007, Epsilon: 0.988, Explore: 211, Exploit: 3
2025-04-09 21:37:44,974 - INFO - Episode 53/3000, Difficulty: 0.00, Reward: -2.1, Loss: 0.0007, Epsilon: 0.988, Explore: 212, Exploit: 2
2025-04-09 21:37:48,458 - INFO - Episode 54/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0008, Epsilon: 0.987, Explore: 207, Exploit: 7
2025-04-09 21:37:51,873 - INFO - Episode 55/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0007, Epsilon: 0.987, Explore: 209, Exploit: 4
2025-04-09 21:37:55,320 - INFO - Episode 56/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.987, Explore: 207, Exploit: 7
2025-04-09 21:37:58,829 - INFO - Episode 57/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0007, Epsilon: 0.987, Explore: 212, Exploit: 3
2025-04-09 21:38:02,345 - INFO - Episode 58/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0009, Epsilon: 0.986, Explore: 210, Exploit: 4
2025-04-09 21:38:05,836 - INFO - Episode 59/3000, Difficulty: 0.00, Reward: -0.0, Loss: 0.0007, Epsilon: 0.986, Explore: 205, Exploit: 7
2025-04-09 21:38:09,347 - INFO - Episode 60/3000, Difficulty: 0.00, Reward: -0.7, Loss: 0.0007, Epsilon: 0.986, Explore: 212, Exploit: 1
2025-04-09 21:38:12,884 - INFO - Episode 61/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0006, Epsilon: 0.986, Explore: 211, Exploit: 2
2025-04-09 21:38:16,389 - INFO - Episode 62/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.986, Explore: 211, Exploit: 2
2025-04-09 21:38:19,878 - INFO - Episode 63/3000, Difficulty: 0.00, Reward: -0.4, Loss: 0.0006, Epsilon: 0.985, Explore: 210, Exploit: 2
2025-04-09 21:38:23,447 - INFO - Episode 64/3000, Difficulty: 0.00, Reward: -0.3, Loss: 0.0006, Epsilon: 0.985, Explore: 212, Exploit: 3
2025-04-09 21:38:27,062 - INFO - Episode 65/3000, Difficulty: 0.00, Reward: -0.6, Loss: 0.0007, Epsilon: 0.985, Explore: 210, Exploit: 4
2025-04-09 21:38:30,590 - INFO - Episode 66/3000, Difficulty: 0.00, Reward: 0.0, Loss: 0.0008, Epsilon: 0.985, Explore: 206, Exploit: 6
2025-04-09 21:38:34,130 - INFO - Episode 67/3000, Difficulty: 0.00, Reward: -1.3, Loss: 0.0006, Epsilon: 0.984, Explore: 207, Exploit: 7
2025-04-09 21:38:37,662 - INFO - Episode 68/3000, Difficulty: 0.00, Reward: -0.2, Loss: 0.0007, Epsilon: 0.984, Explore: 209, Exploit: 4
2025-04-09 21:38:41,219 - INFO - Episode 69/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.984, Explore: 210, Exploit: 4
2025-04-09 21:38:44,759 - INFO - Episode 70/3000, Difficulty: 0.00, Reward: -0.1, Loss: 0.0006, Epsilon: 0.984, Explore: 213, Exploit: 2
2025-04-09 21:38:48,292 - INFO - Episode 71/3000, Difficulty: 0.00, Reward: -0.5, Loss: 0.0007, Epsilon: 0.983, Explore: 210, Exploit: 3
